Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E,Choice F
"An object is launched with speed V₀ at an angle θ above the horizontal and returns to the same height. Which of the following expressions gives the maximum height h₍ₘₐₓ₎ it reaches in terms of V₀, θ, and g?",h₍ₘₐₓ₎ = V₀²·cos²θ ⁄ (2·g),h₍ₘₐₓ₎ = V₀²·sin²θ ⁄ (2·g),h₍ₘₐₓ₎ = V₀²·sin(2θ) ⁄ (2·g),h₍ₘₐₓ₎ = V₀² ⁄ (2·g),B,"Use Vᵧ = V₀·sinθ. At peak: Vᵧ = 0, so t = V₀·sinθ ⁄ g. Plug into x = x₀ + Vᵧ₀·t + ½·a·t² gives h₍ₘₐₓ₎ = V₀²·sin²θ ⁄ (2·g).",,
A projectile is launched from the ground with speed V₀ at angle θ. What is the total horizontal distance R it travels before landing back at the same height?,R = V₀²·cos²θ ⁄ g,R = V₀²·sin(2θ) ⁄ g,R = V₀²·sinθ ⁄ (2·g),R = V₀²·tanθ ⁄ g,B,Use time of flight t = 2·V₀·sinθ ⁄ g and Vₓ = V₀·cosθ. Then R = V₀·cosθ·t = V₀²·sin(2θ) ⁄ g.,,
A rock is dropped from height h while another rock is launched horizontally at speed V₀ from the same height. How far apart are they horizontally when they hit the ground?,Δx = V₀·√(2·h ⁄ g),Δx = h·V₀ ⁄ g,Δx = V₀·(2·h ⁄ g),Δx = V₀·h·g,A,Time to fall is t = √(2·h ⁄ g). The falling rock drops vertically; the launched rock moves horizontally: Δx = V₀·t = V₀·√(2·h ⁄ g).,,
An object accelerates from rest with constant acceleration a over distance d. What is its final speed V₍f₎?,V₍f₎ = a·d,V₍f₎ = √(2·a·d),V₍f₎ = d ⁄ a,V₍f₎ = 2·a·d,B,Use V₍f₎² = V₀² + 2·a·d with V₀ = 0 → V₍f₎ = √(2·a·d).,,
A projectile is launched from the ground with speed V₀ at angle θ. What is the total time t₍ₜₒₜ₎ it remains in the air?,t₍ₜₒₜ₎ = V₀·cosθ ⁄ g,t₍ₜₒₜ₎ = 2·V₀·sinθ ⁄ g,t₍ₜₒₜ₎ = V₀·sinθ ⁄ (2·g),t₍ₜₒₜ₎ = 2·V₀⁄g,B,Time to peak: V₀·sinθ ⁄ g → total time = 2·V₀·sinθ ⁄ g.,,
A train moves right at speed V₍ₜ₎ and a person inside walks forward at speed V₍ᵣ₎ relative to the train. What is their speed relative to the ground?,V₍g₎ = V₍ₜ₎ − V₍ᵣ₎,V₍g₎ = V₍ᵣ₎ − V₍ₜ₎,V₍g₎ = V₍ₜ₎ + V₍ᵣ₎,V₍g₎ = √(V₍ₜ₎² + V₍ᵣ₎²),C,V₍g₎ = V₍ₜ₎ + V₍ᵣ₎ when both move in same direction.,,
"An object starts at x₀, moves at constant speed V₀ for t₁, then accelerates at a for time t₂. What is its final position x₍f₎?",x₍f₎ = x₀ + V₀·t₁ + V₀·t₂ + ½·a·t₂²,x₍f₎ = x₀ + V₀·(t₁ + t₂) + ½·a·t₂²,x₍f₎ = x₀ + V₀·t₁ + ½·a·t₂²,x₍f₎ = x₀ + V₀·t₂ + ½·a·t₁²,B,First phase: V₀·t₁; second phase: V₀·t₂ + ½·a·t₂² → total: x₀ + V₀·(t₁ + t₂) + ½·a·t₂².,,
"An object accelerates for time t₁ from rest, then reverses direction and accelerates oppositely for time t₂. What is its final velocity V₍f₎?",V₍f₎ = a·(t₁ − t₂),V₍f₎ = a·(t₁ + t₂),V₍f₎ = a·(t₂ − t₁),V₍f₎ = −a·(t₁ + t₂),C,Forward: a·t₁. Reverse: −a·t₂ → net: V₍f₎ = a·t₁ − a·t₂ = a·(t₁ − t₂).,,
Runner A moves east at V₍A₎. Runner B moves west at V₍B₎. What is A's velocity relative to B?,V₍AB₎ = V₍A₎ + V₍B₎,V₍AB₎ = V₍A₎ − V₍B₎,V₍AB₎ = −(V₍A₎ + V₍B₎),V₍AB₎ = |V₍A₎ − V₍B₎|,A,V₍AB₎ = V₍A₎ − (−V₍B₎) = V₍A₎ + V₍B₎ when moving toward each other.,,
"An object moves right at speed V₁ for time t₁, then left at speed V₂ for time t₂. What is its average velocity?",V₍avg₎ = (V₁·t₁ − V₂·t₂) ⁄ (t₁ + t₂),V₍avg₎ = (V₁ + V₂) ⁄ 2,V₍avg₎ = (V₁·t₁ + V₂·t₂) ⁄ (t₁ + t₂),V₍avg₎ = |V₁ − V₂| ⁄ 2,A,Displacement = V₁·t₁ − V₂·t₂; time = t₁ + t₂ → V₍avg₎ = displacement ⁄ time.,,
