Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E
A person of mass m is standing on a scale in an elevator that is accelerating downward with an acceleration of magnitude a. Which of the following is a correct expression for the normal force exerted on the person by the scale?,m·g,m·(g − a),m·(g + a),m·a,B,"Start with Newton’s second law: ∑F = m·a. Taking upward as positive, the forces are: N − m·g = −m·a, since the acceleration is downward. Solving: N = m·g − m·a = m·(g − a), which gives the normal force the scale reads.",
"Elevator A is moving upward at a constant speed of 4 m/s and Elevator B is moving downward at a constant speed of 2 m/s. In each elevator, a 10 kg object is on a scale. The scale in Elevator A reads F₍A₎ and the scale in Elevator B reads F₍B₎. Which of the following correctly compares F₍A₎ and F₍B₎, and provides a valid justification?",F₍A₎ > F₍B₎ because Elevator A is moving up while Elevator B is moving down.,F₍A₎ > F₍B₎ because Elevator A has a greater speed than Elevator B.,F₍A₎ = F₍B₎ because two objects with the same mass always have the same apparent weight.,F₍A₎ = F₍B₎ because both elevators are traveling with a constant speed.,D,"Since both elevators move at constant speed, the net acceleration is zero. According to Newton’s second law, with no acceleration, the net force is zero, so the normal force (scale reading) equals m·g in both elevators. Therefore, F₍A₎ = F₍B₎.",
An astronaut stands on the surface of an asteroid. The astronaut then jumps such that the astronaut is no longer in contact with the surface. The astronaut falls back down to the surface after a short time interval. Which of the following forces CANNOT be neglected when analyzing the motion of the astronaut?,The electromagnetic force between the subatomic particles of the astronaut and the subatomic particles of the asteroid,The strong nuclear force between the subatomic particles of the astronaut and the subatomic particles of the asteroid,The weak nuclear force between the subatomic particles of the astronaut and the subatomic particles of the asteroid,The gravitational force between the astronaut and the asteroid,D,The only non-negligible force affecting the astronaut's motion across space between the asteroid's surface and free-fall is gravity. All nuclear and electromagnetic forces between subatomic particles across large distances are negligible in this context.,
"An astronaut in deep space is at rest relative to a nearby space station. The astronaut needs to return to the space station. A student makes the following claim: “The astronaut should position her feet pointing away from the space station. Then, she should repeatedly move her feet in the opposite direction to each other. This action will propel the astronaut toward the space station.” Is the student’s claim correct? Justify your selection.","Yes. The astronaut’s feet exert a force away from the space station, creating an equal and opposite force that will accelerate the astronaut toward the space station.","Yes. The astronaut’s feet will have a velocity that is transferred to her center of mass, accelerating the astronaut toward the space station.","No. The astronaut’s feet are not exerting a force on another object, so there is no external force to accelerate the astronaut toward the space station.","No. The astronaut would move away from the space station, not toward it, since her feet are pointed away from the space station.",C,"In space, internal movements like moving feet cannot create net acceleration without interaction with an external object. Newton’s third law requires a force on another object to produce propulsion; no external force means no change in motion.",
A ball is moved from Earth to a planet that has a gravitational acceleration that is double that of Earth. How does the gravitational force on the ball when it is on the new planet compare to the gravitational force on the ball when it is on Earth?,The gravitational force on the ball when it is on the new planet is double the force on the ball when it is on Earth.,The gravitational force on the ball when it is on the new planet is half the force on the ball when it is on Earth.,The gravitational force on the ball when it is on the new planet is the same as the force on the ball when it is on Earth.,The gravitational force on the ball when it is on the new planet is one-fourth the force on the ball when it is on Earth.,A,"Gravitational force is given by F = m·g. If the new planet has double the gravitational acceleration, then F = m·(2g) = 2·m·g. So, the force is doubled compared to Earth.",
"In one experiment, a student rolls a 2 kg ball such that it collides with a wall with a force of 10,000 N. In a second experiment, the student rolls a 5 kg ball such that it collides with the wall at a force of 5000 N. In both experiments, the balls bounce back from the wall and eventually come to rest. Which of the following statements is true regarding the force that the wall exerts on each ball?",The wall exerts the same force on both balls since they both bounce back from the same wall in both experiments.,The wall exerts a greater force on the 5 kg ball than on the 2 kg ball since a greater force is required to cause the heavier ball to bounce back from the wall.,The wall exerts a greater force on the 2 kg ball than on the 5 kg ball since the force from the wall on each ball is equal to the force that each ball exerts on the wall.,The answer cannot be determined without knowing the distance each ball rolls before coming to rest.,C,"By Newton’s third law, the force exerted by the wall on each ball is equal in magnitude and opposite in direction to the force each ball exerts on the wall. Since the 2 kg ball hits with more force, the wall exerts more force back on it.",
"On Earth, when a box slides across a horizontal board, the board exerts a frictional force of magnitude F₀ on the box. The board and the box are moved to a planet with twice the radius but one-third the mass of Earth. When the box slides across the board, the frictional force exerted by the board on the box is now",¹⁄₁₂·F₀,¹⁄₆·F₀,²⁄₃·F₀,F₀,A,"Gravitational acceleration on a planet is g = G·M⁄R². The new planet has M = ⅓·Mₑ and R = 2·Rₑ, so g = G·(⅓·Mₑ)/(4·Rₑ²) = (⅓⁄4)·gₑ = ¹⁄₁₂·gₑ. Since friction is proportional to the normal force, which is proportional to g, the new friction force is ¹⁄₁₂·F₀.",
"A cart with an unknown mass is at rest on one side of a track. A student must find the mass of the cart by using Newton’s second law. The student attaches a force probe to the cart and pulls it while keeping the force constant. A motion detector rests on the opposite end of the track to record the acceleration of the cart as it is pulled. The student uses the measured force and acceleration values and determines that the cart’s mass is 0.4 kg. When placed on a balance, the cart’s mass is found to be 0.5 kg. Which of the following could explain the difference in mass?",The track was not level and was tilted slightly downward.,The student did not pull the cart with a force parallel to the track.,The wheels contain bearings that were rough and caused a significant amount of friction.,The motion sensor setting was incorrect. The student set it up so that motion away from the sensor would be the negative direction.,A,"A tilted track would result in an additional component of gravitational force aiding the motion, causing the calculated acceleration to be larger than it should be for the applied force, and thus underestimating the mass using F = m·a.",
"Three cars are at rest on a 50 meter long bridge. Car A, with mass 1,000 kg, is 5 meters from the left end of the bridge; Car B, with mass 500 kg, is 20 meters from the left end of the bridge; and Car C, with mass 2,000 kg, is 45 meters from the left end of the bridge. How far from the left end of the bridge is the center of mass of the three-car system located?",20 meters,23 meters,25 meters,30 meters,D,The center of mass is found using x_cm = (m₁·x₁ + m₂·x₂ + m₃·x₃)/(m₁ + m₂ + m₃) = (1000·5 + 500·20 + 2000·45)/(1000 + 500 + 2000) = (5000 + 10000 + 90000)/3500 = 105000/3500 = 30 meters.,
A moon of mass 1 × 10²⁰ kg is in a circular orbit around a planet. The planet exerts a gravitational force of 2 × 10²¹ N on the moon. The centripetal acceleration of the moon is most nearly,0.05 m⁄s²,10 m⁄s²,20 m⁄s²,2 × 10⁴¹ m⁄s²,C,Use Newton’s second law: F = m·a. Solving for a gives a = F⁄m = (2 × 10²¹ N)/(1 × 10²⁰ kg) = 20 m⁄s².,
