Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
A two-mass system has m₁ = 2 kg at x₁ = 0 m and m₂ = 6 kg at x₂ = 4 m. What is the system’s center of mass?,C,2 m,False,PH38,1 m,False,PH39,3 m,True,,0 m,False,PH36,x₍cₘ₎ = (∑mᵢ·xᵢ) ⁄ (∑mᵢ) = (2·0 + 6·4)/(2+6) = 24/8 = 3 m.
A rocket in space explodes into two equal-mass fragments. What happens to the center of mass motion?,D,It accelerates in both directions.,False,PH40,It jumps toward the larger fragment.,False,PH38,It moves with the faster fragment.,False,PH37,It continues with the original velocity.,True,,In the absence of external force— center of mass continues unchanged.
Which best explains why a system’s COM can lie outside its physical body?,A,COM depends on mass distribution— not object shape.,True,,It only happens if the object is accelerating.,False,PH38,COM exists only for moving systems.,False,PH36,It happens when mass is unequal.,False,PH39,COM is a calculated location based on mᵢ·xᵢ — it doesn’t have to be inside.
Which object would have a COM closest to its edge?,B,A uniform disk.,False,PH41,A hammer with a heavy head.,True,,A cube of equal density.,False,PH41,A thin square sheet.,False,PH41,The COM shifts toward the concentrated mass — the heavy end of the hammer.
Why is COM useful in analyzing collisions?,C,It tells where friction acts.,False,PH42,It tracks rotational energy.,False,PH41,Its motion is predictable if external force is known.,True,,It determines pressure applied.,False,PH39,COM responds to net external force — it follows F = ma.
A system of two blocks accelerates to the right. What must be true?,A,There is a net external force to the right.,True,,Internal friction caused the motion.,False,PH40,One block must be more massive.,False,PH41,The system is not accelerating.,False,PH36,Only external forces change COM acceleration.
Which action would NOT change a system’s center of mass?,D,Removing one mass.,False,PH36,Shifting internal mass positions.,False,PH41,Adding a new external object.,False,PH36,Rotating the system in place.,True,,COM is about position— not orientation.
Two masses on a frictionless surface push off each other. What happens?,C,Both accelerate in same direction.,False,PH42,Larger mass moves faster.,False,PH37,Both move in opposite directions— COM stays constant.,True,,System gains momentum.,False,PH40,No external force → momentum conserved— COM stays still.
A student draws all forces inside a system on an FBD. What is wrong?,B,Internal forces should point outward.,False,PH42,Internal forces should not be shown on a system FBD.,True,,All forces should cancel.,False,PH40,Mass should be split.,False,PH39,Only external forces affect system motion. Internal forces cancel.
What defines the COM for a continuous object?,A,It is the average position of the distributed mass.,True,,It is the heaviest part.,False,PH41,It must lie within the material.,False,PH38,It depends on rotation.,False,PH39,COM = ∑mᵢxᵢ/∑mᵢ — applies to continuous as well as discrete systems.
Which of the following forces would appear on a free-body diagram for a box sitting on a table?,A,The weight of the box and the normal force from the table.,True,,The force the box exerts on the table.,False,PH45,Internal stress inside the box.,False,PH43,The gravitational pull the box exerts on the Earth.,False,PH45,FBD shows forces acting ON the object — not forces the object exerts.
What does a free-body diagram (FBD) represent?,C,The internal structure of a system.,False,PH43,The motion of the object over time.,False,PH44,All external forces acting on a single object.,True,,The forces the object applies to others.,False,PH45,FBDs isolate one object and show only the forces acting ON it.
Which is NOT a contact force?,B,Normal force.,False,PH46,Gravitational force.,True,PH46,Frictional force.,False,PH46,Tension in a rope.,False,PH46,Gravitational force acts at a distance — it’s non-contact.
Why do we not show components on FBDs?,D,Because components act in opposite directions.,False,PH49,Because components don’t affect acceleration.,False,PH49,Because angles remove the need for them.,False,PH49,Because we show full forces— not their trigonometric parts.,True,,Components are used for calculation — not for initial FBD sketching.
An object is pulled to the right with tension. Which force must oppose this to maintain equilibrium?,A,Friction to the left.,True,,Normal force upward.,False,PH47,Weight downward.,False,PH47,The same tension again.,False,PH45,To balance forces in x-direction— there must be an opposing force: friction.
A FBD shows a 5 N upward normal force and a 5 N downward gravitational force. What is the object’s vertical acceleration?,B,5 m/s²,False,PH44,0 m/s²,True,,9.8 m/s²,False,PH44,−9.8 m/s²,False,PH47,Equal and opposite forces → ∑F = 0 → a = 0.
Which force is often omitted incorrectly from sliding FBDs?,D,Weight.,False,PH47,Tension.,False,PH47,Normal force.,False,PH47,Friction.,True,PH47,Friction is common but frequently forgotten in horizontal motion problems.
What causes normal force to change?,C,Surface type only.,False,PH43,The object's shape.,False,PH47,The vertical component of other forces.,True,,The object's horizontal motion.,False,PH47,Normal force balances vertical forces— not just weight.
Why is it wrong to draw weight as upward?,A,Because weight always acts downward toward Earth.,True,,Because forces can’t point upward.,False,PH47,Because weight changes based on velocity.,False,PH43,Because mass can’t lift itself.,False,PH44,Weight is mg— always directed down in near-Earth problems.
