Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E
"Neglecting air resistance, when you toss a stone straight up from Earth's surface, which of the following is true during its upward motion?",The stone’s kinetic energy decreases while its gravitational potential energy increases.,The stone’s total energy increases.,The stone’s kinetic energy increases while its gravitational potential energy decreases.,The stone’s kinetic and gravitational potential energies increase simultaneously.,A,"As the stone moves upward, gravitational potential energy U₍g₎ = m·g·h increases due to rising height, while kinetic energy K = ½·m·v² decreases as speed slows; total mechanical energy stays constant with no air resistance.",
A lightweight object and a very heavy object are sliding with equal speeds along a level frictionless surface. They both slide up the same frictionless hill. Which rises to a greater height?,They both slide to the same height.,"The heavy object, because it has greater kinetic energy.","The heavy object, because it weighs more.","The light object, because it has smaller kinetic energy.",A,"Both objects have the same speed, so they have kinetic energy K = ½·m·v² proportional to their mass; when converted to gravitational potential energy U₍g₎ = m·g·h, the mass cancels, so they reach the same height regardless of weight.",
"In the movie *Frozen*, a net force of 350 N is applied at a 70° angle to move a 40 kg block of ice over 0.5 m from rest. What is the net work done?",59.9,0 J,175 J,350 J,A,Net work done is W = F·d·cos(θ) = 350·0.5·cos(70°) = 175·0.3420 ≈ 59.9 J. Only the horizontal component of force contributes to work.,
"Luke Atkins (75 kg) jumped from 25,000 ft with no parachute and landed on a net going 65 m/s. The net slowed him down over a distance of 52 m. What was the work done on him?",-158437.5 J,0 J,"243,750 J","126,500 J",A,"Using the work-energy theorem: W = ΔK = ½·m·(v_f² − v_i²) = ½·75·(0² − 65²) = −158,437.5 J. Work is negative because the net removes kinetic energy.",
Two blocks of masses m₁ and m₂ slide down two frictionless inclines of equal height. Block 1 slides down a 30° ramp and Block 2 slides down a 60° ramp. Which block is moving faster at the bottom?,We must know the actual masses of the blocks to answer.,Block 1 is faster.,Both blocks have the same speed at the bottom.,Block 2 is faster.,C,"Using conservation of energy, m·g·h = ½·m·v² → v = √(2·g·h). Since both start from the same height, both reach the same final speed regardless of incline angle or mass.",
"A simple pendulum of mass m swings upward along a string of length L, making an angle θ with the vertical. What is the work done by the tension force?",m·g·L,m·g·L·tan(θ),m·g·L·cos(θ),zero.,D,"Tension acts perpendicular to the displacement of the pendulum at all times, so the work done by the tension force is zero.",
"A car starts from rest and reaches speed v in 5 seconds. The work done is w₁. In the next 5 seconds, the car accelerates to speed 2v. If the work in the second phase is w₂, how does w₁ compare to w₂?",w₁ = w₂.,w₁ = ½·w₂.,w₁ = ⅓·w₂.,w₁ = 2·w₂.,C,Work equals change in kinetic energy. First part: w₁ = ½·m·v². Second part: w₂ = ½·m·(2v)² − ½·m·v² = ½·m·(4v² − v²) = ½·m·3v² = 3·w₁ → w₁ = ⅓·w₂.,w₁ = 4·w₂.
A student shoves a 0.50-kg block up a 30.0° frictionless incline with 4.0 J of work. The block slides up and stops. What is the distance s (in cm) the block travels along the incline?,8.0 cm,16 cm,82 cm,160 cm,C,"Using W = m·g·s·sin(θ), solve for s: s = W / (m·g·sin(30°)) = 4.0 / (0.5·9.8·0.5) ≈ 0.82 m = 82 cm.",330 cm
"A 30 g marble is launched by a spring (k = 50 N/m, compressed 15 cm) and lands 0.75 m below its launch point. What is its horizontal range?",120 cm,150 cm,220 cm,260 cm,C,Spring energy: ½·k·x² = ½·50·(0.15)² = 0.5625 J = ½·m·v² → v ≈ 6.12 m/s. Time to fall 0.75 m is t = √(2·0.75/9.8) ≈ 0.39 s. Range = v·t ≈ 6.12·0.39 ≈ 2.39 m ≈ 239 cm → closest to 220 cm.,330 cm
"Two masses Mₓ and Mᵧ are connected by a string and dropped from height H, with Mᵧ > Mₓ. The system falls under gravity. What is the total change in kinetic energy of the system from release to ground impact?",Mᵧ·g·H,Mₓ·g·H,(Mᵧ − Mₓ)·g·H,(Mᵧ + Mₓ)·g·H,D,"The entire system falls a height H, and total initial potential energy U = (Mᵧ + Mₓ)·g·H becomes kinetic energy by the time it hits the ground, so ΔK = (Mᵧ + Mₓ)·g·H.",
