Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E
A mass m moves at speed v and collides with another mass 2m at rest. They stick together. What is V(f)?,V(f) = v,V(f) = 2v,V(f) = v / 3,V(f) = (m·v) / (3m),D,Conserve momentum: m·v = (m + 2m)·V(f) → V(f) = m·v / 3m = v / 3.,
"An object splits into two pieces: mass m and 3m. If the small mass moves left at velocity v, what is the velocity of the 3m piece?",V = –v,V = v / 3,V = v / 4,V = –v / 3,C,Momentum conserved: m·(–v) + 3m·V = 0 → V = v / 4.,
A mass m moving at speed v elastically hits a mass m at rest. What is the speed of the first mass after collision?,v,v / 2,0,2v,C,"Identical mass elastic collision: moving object stops, second one takes speed.",
An object receives impulse J over time t. What is the average force?,F = J·t,F = J / t,F = m·v / t²,F = J² / t,B,Impulse = F·t → F = J / t.,
Two carts of masses m and 2m move toward each other with equal speeds v. What is the velocity after they stick?,V(f) = 0,V(f) = v,V(f) = –v / 3,V(f) = v / 2,C,Total p = –m·v + 2m·v = v·m → V(f) = (v·m) / (3m) = v / 3 → left cart wins → V(f) = –v / 3.,
A 2 kg object moving at 3 m/s collides and sticks to a 4 kg object at rest. What is V(f)?,V(f) = 1 m/s,V(f) = 2 m/s,V(f) = 3 m/s,V(f) = 4 m/s,A,p = 2·3 = 6; total mass = 6 → V(f) = 6 / 6 = 1 m/s.,
A spring compressed by x launches a mass m horizontally. What is its momentum upon release?,p = √(k·x²·m),p = k·x / m,p = m·√(k / m)·x,p = √(k·m)·x,D,½·k·x² = ½·m·v² → v = √(k / m)·x → p = m·v = √(k·m)·x.,
A force F acts on a mass m for time t. What is the change in kinetic energy?,ΔKE = F·t,ΔKE = ½·(F·t / m)²·m,ΔKE = F²·t² / (2·m),ΔKE = F / m,C,F = m·a → v = a·t = F·t / m → KE = ½·m·v² = F²·t² / (2·m).,
Two objects collide elastically. Which of the following is always conserved?,Kinetic energy only,Momentum only,Both kinetic energy and momentum,Only energy if masses are equal,C,Elastic collisions conserve both momentum and kinetic energy.,
An object’s kinetic energy doubles. What happens to its momentum?,It stays the same,It doubles,It increases by √2,It quadruples,C,"KE ∝ v², p ∝ v → KE ∝ p² → doubling KE → p increases by √2.",
A 3m object at rest explodes into m and 2m pieces. The small piece moves left at v. What is the velocity of the 2m piece?,v / 2,2v,v / 3,v,A,0 = –m·v + 2m·V → V = v / 2.,
A force F acts over time t on mass m. What is the object's speed afterward?,v = F·t,v = F·t / m,v = m·F·t,v = F / m,B,F = m·a → a = F / m → v = a·t = F·t / m.,
A mass m slides down a frictionless ramp of height h. What is its final momentum?,p = m·√(2·g·h),p = √(m·g·h),p = ½·m·g·h,p = √(2·m²·g·h),D,KE = m·g·h = ½·m·v² → v = √(2·g·h) → p = m·v = √(2·m²·g·h).,
Which equation expresses impulse in terms of force and time?,J = m / v,J = m·v,J = F / t,J = F·t,D,Impulse = F·t.,
Two masses m and 2m have equal kinetic energy. Which has greater momentum?,m,2m,Same,Depends on v,B,"KE = ½·m·v², p = m·v. For same KE, p ∝ √(m) → more mass → more momentum.",
A moving object collides inelastically with a stationary object of equal mass. What fraction of initial KE is lost?,0,½,¼,1,B,m·v collides with m at rest → final speed = v/2 → KE = ½·m·(v/2)² = ¼·m·v² → loss = ½.,
"Two objects collide elastically. One is at rest. After collision, they both move. What must be true?",Total KE is zero,Total KE is constant,KE is transferred but not conserved,Only one object has momentum,B,Elastic collision → total KE and total momentum are conserved.,
A force is applied at angle θ for time t. What component of impulse changes horizontal momentum?,J = F·t·sinθ,J = F / t,J = F·t·cosθ,J = F·t²·cosθ,C,Horizontal impulse = horizontal force × time = F·cosθ·t.,
