Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
Which expression defines linear momentum?,A,p = m · v,True,,p = m / v,False,PH134,p = v² / m,False,PH134,p = m + v,False,PH134,Momentum is the product of mass and velocity: p = m · v
If mass doubles while velocity remains constant— what happens to momentum?,D,It stays the same.,False,PH138,It halves.,False,PH138,It quadruples.,False,PH138,It doubles.,True,,p = m · v → double mass = double momentum
A 5 kg object moving at 4 m/s collides with a 3 kg object at rest. What is total momentum before collision?,C,12 kg·m/s,False,PH140,35 kg·m/s,False,PH140,20 kg·m/s,True,,0 kg·m/s,False,PH139,Only the 5 kg object has initial momentum: 5·4 = 20 kg·m/s
Which principle applies during a collision when no external force acts?,B,Momentum equals mass.,False,PH134,Momentum of the system is conserved.,True,,Kinetic energy is always conserved.,False,PH140,Acceleration is zero.,False,PH139,Momentum conservation holds in isolated systems.
A system’s total momentum is zero. What must be true?,A,All momenta cancel out in vector sum.,True,,Each object must be at rest.,False,PH139,No object has any velocity.,False,PH139,The masses are all equal.,False,PH138,Momentum is vector — total can be zero if parts cancel.
Two equal-mass objects move toward each other at speed v. What is total momentum?,C,2m · v,False,PH137,0,True,,m · v,False,PH137,−m · v,False,PH139,Their momenta are equal and opposite → p_total = 0
A 2 kg object at 3 m/s collides and sticks to a 4 kg object at 1 m/s. What is final speed?,B,1 m/s,False,PH140,v = (2·3 + 4·1) / (2+4) = 10/6 ≈ 1.67 m/s,True,,3 m/s,False,PH138,Cannot determine.,False,PH139,Use conservation: p_initial = p_final → solve for v
A cart of mass m bounces off a wall. Speed is same before and after. What happens to momentum?,D,It doubles.,False,PH136,It vanishes.,False,PH137,It is conserved for the wall.,False,PH134,It changes direction— so vector momentum changes.,True,,Momentum is vector → sign reversal means ∆p = 2mv
Which describes momentum in an explosion?,C,Total momentum becomes positive.,False,PH140,Larger pieces gain more momentum.,False,PH138,Total momentum is conserved even as objects fly apart.,True,,Momentum is destroyed by the explosion.,False,PH136,Internal forces change individual momenta but system total stays the same.
What is the best explanation for momentum conservation?,A,No net external force acts on the system.,True,,Objects must have equal mass.,False,PH138,Velocities must cancel.,False,PH139,Force and energy are balanced.,False,PH134,Conservation requires ∑Fₑₓₜ = 0 — internal changes don’t affect system p
Which expression defines impulse?,C,J = F / t,False,PH141,J = m / v,False,PH141,J = F · ∆t,True,,J = ∆t / F,False,PH141,Impulse is force applied over a time interval: J = F · ∆t
Impulse changes momentum. What is this principle called?,B,Work-energy theorem,False,PH144,Impulse-momentum theorem,True,,Law of inertia,False,PH144,Kinematic equivalence,False,PH144,J = ∆p is the impulse-momentum theorem
If a constant force acts over a time ∆t on mass m— what is final speed v from rest?,D,v = F · m,False,PH141,v = m / F,False,PH141,v = F / m,False,PH141,v = F · ∆t / m,True,,Impulse = F·∆t = ∆p = m·v → solve for v
What quantity equals the area under a force vs. time graph?,A,Impulse,True,,Velocity,False,PH146,Work,False,PH146,Power,False,PH146,Area under F–t graph = F·∆t = J
A 0.2 kg ball moving at 10 m/s hits a wall and rebounds at 8 m/s. What is impulse?,B,J = 2 N·s,False,PH144,J = ∆p = m(v_f − v_i) = 0.2(−8 − 10) = −3.6 N·s,True,,J = 1.8 N·s,False,PH144,J = 4 N·s,False,PH144,Impulse is the total momentum change: J = m·∆v
Which change increases impulse the most?,D,Halving the mass.,False,PH144,Shorter time interval.,False,PH142,Smaller force.,False,PH142,Increasing both force and duration.,True,,J = F·∆t → increase F and ∆t = more impulse
A student claims longer collisions always produce larger impulse. What’s wrong?,C,They are correct in all cases.,False,PH142,Time always increases velocity.,False,PH144,Impulse also depends on force magnitude.,True,,Impulse only applies when velocity is zero.,False,PH144,J = F·∆t → if F is small— long time doesn’t guarantee large J
Which of these shows why airbags help in crashes?,B,They increase force on the body.,False,PH142,They increase the time over which the momentum changes.,True,,They reduce speed.,False,PH144,They reverse direction instantly.,False,PH145,Longer ∆t → smaller F for same impulse (same ∆p)
If impulse is fixed— how can force be reduced?,C,Increase velocity.,False,PH144,Decrease mass.,False,PH144,Increase time interval ∆t.,True,,Increase kinetic energy.,False,PH145,F = J / ∆t → for fixed J— larger ∆t → smaller F
What does negative impulse mean?,A,Force is opposite to velocity direction.,True,,The object speeds up.,False,PH144,Momentum is destroyed.,False,PH145,There is no force.,False,PH141,Negative J = negative ∆p = slowing down or direction reversal
Two carts— m₁ and m₂— collide elastically. Which quantities are conserved?,B,Only momentum.,False,PH154,Momentum and kinetic energy.,True,,Only kinetic energy.,False,PH154,Only velocity.,False,PH150,Elastic collisions conserve both momentum and KE.
A 2 kg cart moving at 3 m/s collides elastically with a 3 kg stationary cart. What is total momentum before?,A,6 kg·m/s,True,,9 kg·m/s,False,PH149,0 kg·m/s,False,PH150,Cannot determine.,False,PH150,Only moving cart: p = m·v = 2·3 = 6 kg·m/s
Which expression defines conservation of momentum for two objects colliding?,C,m₁v₁ = m₂v₂,False,PH148,m₁ + m₂ = constant,False,PH152,m₁v₁ₒ + m₂v₂ₒ = m₁v₁f + m₂v₂f,True,,v₁f + v₂f = v₁ₒ + v₂ₒ,False,PH151,Total momentum before = total after in isolated system
A bullet embeds in a block. What type of collision is this?,B,Elastic,False,PH154,Perfectly inelastic,True,,Explosion,False,PH153,Partially elastic,False,PH154,Sticking → perfectly inelastic: max KE loss
Two carts stick together after collision. How to find final velocity?,D,Use energy conservation.,False,PH154,Add their kinetic energies.,False,PH154,Use v_avg = (v₁ + v₂)/2,False,PH151,Use p_total = (m₁ + m₂)·v_f,True,,m₁v₁ + m₂v₂ = (m₁ + m₂)v_f → solve for v_f
A 1 kg ball at 4 m/s hits 2 kg ball at rest. After— ball 1 is at rest. What is velocity of ball 2?,A,v = 2 m/s,True,,v = 4 m/s,False,PH154,v = 1.5 m/s,False,PH150,v = 0,False,PH151,Momentum conserved: 1·4 = 2·v → v = 2
Why does a smaller mass accelerate more in recoil collisions?,C,Because it exerts more force.,False,PH154,Because it has more momentum.,False,PH138,Because it needs higher velocity to conserve momentum.,True,,Because it loses kinetic energy.,False,PH151,p = m·v → smaller m needs larger v to balance momentum
Two objects collide. One speeds up— the other slows down. Total momentum is—,D,Zero.,False,PH150,Destroyed.,False,PH153,Equal to their kinetic energy.,False,PH154,Conserved as a vector sum.,True,,Individual speeds change— but total momentum remains
What distinguishes an explosion from a collision?,B,Energy is lost.,False,PH154,One object breaks into several.,True,,Momentum is destroyed.,False,PH150,Objects stick together.,False,PH151,Explosions begin with one object— end with many; still conserve momentum.
What is required for momentum to be conserved?,C,Equal masses.,False,PH152,Equal speeds.,False,PH150,No external forces.,True,,Equal energies.,False,PH154,Only isolated systems (∑Fₑₓₜ = 0) conserve momentum.
Which collision type conserves both momentum and kinetic energy?,C,Perfectly inelastic,False,PH156,Partially elastic,False,PH156,Elastic,True,,Explosive,False,PH157,Only elastic collisions conserve both KE and momentum.
Two carts collide and stick together. What must be true?,A,Momentum is conserved— but kinetic energy is not.,True,,Both momentum and energy are conserved.,False,PH156,Velocity is conserved.,False,PH155,The final speed equals the initial speed.,False,PH157,In perfectly inelastic collisions— momentum conserved— KE is not.
A moving object hits a stationary object of equal mass elastically. What happens?,B,Both objects stop.,False,PH156,The moving object stops— and the second moves with its speed.,True,,Both move in same direction together.,False,PH157,They rebound with reversed speeds.,False,PH156,In 1D elastic collisions of equal mass— momentum and KE swap.
Which quantity is always conserved in all collisions?,C,Kinetic energy,False,PH156,Velocity,False,PH157,Momentum,True,,Mass × speed,False,PH155,Momentum is always conserved unless external force acts.
A 2 kg cart moving at 4 m/s collides and rebounds elastically. What is change in momentum?,A,∆p = m(vf − vi) = 2(−4 − 4) = −16 kg·m/s,True,,∆p = 0,False,PH160,∆p = 8,False,PH160,∆p = 4,False,PH160,Velocity reverses → ∆p = m·(−v − v) = −2mv
Which is NOT true about inelastic collisions?,D,Objects may stick together.,False,,Momentum is conserved.,False,,Some KE converts to other forms.,False,,Kinetic energy increases.,True,PH156,In inelastic collisions— KE is lost — not gained.
Two carts of mass m and 2m collide elastically. First at v— second at rest. What is final velocity of first?,B,v,False,PH156,vff = (m − 2m)v / (m + 2m) = −v / 3,True,,0,False,PH160,2v,False,PH155,Use elastic collision formula: v₁f = (m₁−m₂)v₁ / (m₁+m₂)
Why is KE not conserved in a perfectly inelastic collision?,C,Momentum is lost.,False,PH156,Forces are unequal.,False,PH158,Some energy converts to thermal— sound— etc.,True,,Velocity is zero.,False,PH159,Energy conserved overall— but not all stays in KE form.
A system explodes into pieces. What is true about total momentum?,A,It is conserved if no external forces act.,True,,It becomes infinite.,False,PH153,It equals total energy.,False,PH159,It reverses direction.,False,PH153,Even in explosions— momentum conserved if isolated system.
