Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
Which expression relates linear and angular velocity for a point on a rotating object?,C,v = ω / r,FALSE,PH171,v = r / ω,FALSE,PH171,v = r · ω,TRUE,,v = r² / ω,FALSE,PH171,Tangential speed: v = r·ω
An object rotates with ω = 5 rad/s at radius r = 0.4 m. What is its tangential speed?,B,v = 5 / 0.4 = 12/5 m/s,FALSE,PH170,v = 0.4 · 5 = 2 m/s,TRUE,,v = 0.4² / 5 = 0.032 m/s,FALSE,PH171,v = ω² · r,FALSE,PH171,Use v = r·ω to find linear speed
Which is the correct formula for tangential acceleration?,D,a₍ₜ₎ = r / α,FALSE,PH171,a₍ₜ₎ = α / r,FALSE,PH171,a₍ₜ₎ = r · ω²,FALSE,PH171,a₍ₜ₎ = r · α,TRUE,,Tangential acceleration: a₍ₜ₎ = r·α
"If angular acceleration is constant,  what is the relationship between a₍ₜ₎ and α?",C,They are equal in all cases.,FALSE,PH171,They depend on mass.,FALSE,PH174,a₍ₜ₎ is proportional to α with radius as factor: a₍ₜ₎ = r·α,TRUE,,They are unrelated.,FALSE,PH171,Tangential acceleration depends on radius and angular acceleration.
An object on edge of spinning disk has linear speed v. What happens to v if ω triples?,D,v stays constant.,FALSE,PH170,v doubles.,FALSE,PH170,v halves.,FALSE,PH170,v triples.,TRUE,,"v = r·ω → if ω triples, so does v"
A wheel of radius 0.5 m has α = 4 rad/s². What is tangential acceleration?,B,a₍ₜ₎ = 4 / 0.5 = 8 m/s²,FALSE,PH171,a₍ₜ₎ = 0.5 · 4 = 2 m/s²,TRUE,,a₍ₜ₎ = 2 · 4 = 8 m/s²,FALSE,PH171,a₍ₜ₎ = 4² / 0.5= 32 m/s²,FALSE,PH171,Use a₍ₜ₎ = r·α to compute
Why do points farther from axis move faster in rotation?,C,They have more torque.,FALSE,PH172,They are more massive.,FALSE,PH174,They have larger radius → v = r·ω,TRUE,,They have more angular acceleration.,FALSE,PH173,Linear speed v increases with radius: v = r·ω
"In a spinning disc,  what happens to a₍ₜ₎ as you move outward?",D,It decreases.,FALSE,PH171,It stays the same.,FALSE,PH171,It becomes angular.,FALSE,PH173,It increases because a₍ₜ₎ = r·α,TRUE,,Tangential acceleration increases with radius.
A wheel spins from rest to ω in time t. What is total angular displacement?,A,θ = ½·α·t²,TRUE,,θ = ω / t,FALSE,PH169,θ = α·t,FALSE,PH169,θ = r·ω,FALSE,PH169,Standard angular displacement equation for constant α
A student says angular speed is the same for all points on a wheel. Is this correct?,B,No — it changes with radius.,FALSE,PH170,Yes — angular speed is constant for a rigid body.,TRUE,,No — inner points are slower.,FALSE,PH172,Yes — because linear speed is shared.,FALSE,PH170,"In a rigid object, all points share same ω; linear speed varies."
