Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E,Choice F
A wheel starts from rest and accelerates at angular acceleration α for time t. What is its angular displacement?,θ = ½·α·t²,θ = α·t,θ = α²·t²,θ = α / t²,A,Rotational kinematics: θ = ω₀·t + ½·α·t². Starts from rest → ω₀ = 0.,,
A disk with moment of inertia I rotates with angular speed ω. What is its rotational kinetic energy?,K = ½·I·ω²,K = I·ω,K = I·ω²,K = ω² / (2·I),A,Rotational KE is K = ½·I·ω².,,
A constant net torque τ is applied to a stationary object. What is its angular speed after time t?,ω = τ / t,ω = τ·t,ω = τ·t / I,ω = t / τ,C,τ = I·α → α = τ / I. Then ω = α·t = τ·t / I.,,
A pulley of radius r rotates with angular speed ω. What is the speed of a mass at its edge?,v = r·ω,v = r / ω,v = ω²·r,v = r / ω²,A,v = r·ω connects angular and linear speed.,,
An object spins at ω₀ and slows with constant α. How long until it stops?,t = ω₀·α,t = ω₀ / α,t = α / ω₀,t = ω₀² / α,B,ω = ω₀ – α·t → 0 = ω₀ – α·t → t = ω₀ / α.,,
A rotating object experiences constant torque τ. What is its angular displacement after time t?,θ = τ·t² / (2·I),θ = τ / (I·t²),θ = τ·t / I,θ = τ²·t / I,A,τ = I·α → α = τ / I. Then θ = ½·α·t² = τ·t² / (2·I).,,
A disk spins with ω and radius r. What is the centripetal acceleration at the edge?,a_c = r·ω²,a_c = ω / r²,a_c = ω² / r,a_c = r² / ω,A,a_c = r·ω² (centripetal acceleration for circular motion).,,
An object rotates at constant speed. What is the net torque acting on it?,τ = I·ω,τ = I·α,τ = 0,τ = ω²·I,C,"If ω is constant, α = 0 → τ = I·α = 0.",,
A hoop and a solid disk roll without slipping. Which has more rotational kinetic energy?,They are equal,The hoop,The disk,Neither has any,B,"Hoop I = m·r², disk I = ½·m·r² → hoop stores more rotational energy at same speed.",,
An object rotates through angle θ in time t at constant α. What is ω at the end?,ω = θ / t,ω = √(2·α·θ),ω = α·θ / t,ω = α / t²,B,"θ = (ω² – ω₀²)/(2·α), and ω₀ = 0 → ω = √(2·α·θ).",,
A uniform rod rotates about its center. What is its moment of inertia?,I = ½·m·L²,I = (1/12)·m·L²,I = m·L²,I = (1/3)·m·L²,B,Moment of inertia of uniform rod about center is (1/12)·m·L².,,
A constant torque τ spins a wheel from rest. What is its angular velocity after turning through angle θ?,ω = √(2·θ·τ / I),ω = √(τ / I·θ),ω = τ·θ / I,ω = τ / (2·I·θ),A,ω² = 2·α·θ; α = τ / I → ω = √(2·τ·θ / I).,,
"If angular momentum is conserved and I increases, what happens to ω?",ω increases,ω stays the same,ω decreases,ω becomes zero,C,"L = I·ω constant → if I increases, ω must decrease.",,
A spinning object slows down at constant α. What equation gives θ in terms of ω₀ and t?,θ = ω₀·t + ½·α·t²,θ = ω₀·t – ½·α·t²,θ = α·t² / 2,θ = ω₀·t,B,Deceleration: α is negative → θ = ω₀·t – ½·α·t².,,
"Given τ = I·α, solve for α.",α = τ / I,α = I / τ,α = τ·I,α = √(I / τ),A,Rearranged directly: α = τ / I.,,
"Given K = ½·I·ω², solve for I.",I = 2·K / ω²,I = K·ω,I = ω² / (2·K),I = √(K·ω²),A,Multiply both sides by 2 and divide by ω² → I = 2·K / ω².,,
"Given L = I·ω, solve for I.",I = ω / L,I = L / ω,I = L·ω,I = √(L / ω),B,Rearranged directly: I = L / ω.,,
"Given ω² = ω₀² + 2·α·θ, solve for θ.",θ = (ω² – ω₀²) / (2·α),θ = 2·(ω² – ω₀²) / α,θ = (ω₀² – ω²) / (2·α),θ = α / (ω² – ω₀²),A,Solve for θ: rearranged from ω² = ω₀² + 2·α·θ.,,
"Given ω = α·t, solve for t.",t = ω / α,t = α / ω,t = ω·α,t = α / ω²,A,Rearranged from ω = α·t → t = ω / α.,,
A record player spins at 33 rpm. What is its angular velocity in both revolutions per second and radians per second?,"0.55 rev/s, 3.46 rad/s","1.1 rev/s, 6.28 rad/s","0.33 rev/s, 2.07 rad/s","0.45 rev/s, 2.83 rad/s",A,33 rpm = 33⁄60 ≈ 0.55 rev/s. Multiply by 2π to convert to radians: 0.55·2π ≈ 3.46 rad/s.,,
Jupiter takes 9.93 hours to make one full revolution. What is its angular velocity in radians per second?,1.76 × 10⁻⁴ rad/s,3.22 × 10⁻⁵ rad/s,2.18 × 10⁻⁴ rad/s,7.61 × 10⁻⁵ rad/s,C,ω = Δθ⁄Δt = 2π rad / (9.93 hr · 3600 s/hr) = 2π / 35748 ≈ 2.18 × 10⁻⁴ rad/s.,,
"Jupiter takes 9.93 hours to complete one revolution. Its radius is 69,000,000 m. What is the linear speed of an object on its surface?","2,580 m/s","8,290 m/s","15,040 m/s","21,750 m/s",C,"First, ω = 2π / (9.93 × 3600) ≈ 2.18 × 10⁻⁴ rad/s. Then v = r·ω = 6.9 × 10⁷ × 2.18 × 10⁻⁴ ≈ 15,042 m/s.",,
A grindstone with radius 4.0 m spins up from 8.0 rad/s to 10 rad/s over 4.0 seconds. What is its angular acceleration?,0.50 rad/s²,2.0 rad/s²,4.5 rad/s²,9.0 rad/s²,A,Angular acceleration α = (ω_f − ω_i)/t = (10 − 8)/4 = 0.5 rad/s².,,
Which statement about a wheel undergoing rolling motion is true?,The angular acceleration of the wheel must be zero m/s².,The tangential velocity is the same for all points on the wheel.,There is no slipping at the point where the wheel touches the surface.,The top of the wheel is at rest relative to the surface.,C,"In rolling without slipping, the point of contact has zero velocity relative to the surface, meaning no slipping occurs there.",,
A wheel starts from rest and has constant angular acceleration α. It takes time t to reach angular speed ω. How long does it take to reach 2ω?,0.5t,t,√t,2t,D,Use ω = α·t. To reach 2ω: 2ω = α·t′ → t′ = 2t. Time must double to double the angular speed.,,
"Two identical wheels start from rest and rotate with constant angular acceleration through the same angular displacement Δθ. If wheel 2 reaches 3·ω₁ while wheel 1 reaches ω₁, how does α₂ compare to α₁?",α₂ = α₁,α₂ = α₁⁄3,α₂ = 3·α₁,α₂ = 9·α₁,D,"Use ω² = 2·α·Δθ (starting from rest). If ω₂ = 3·ω₁, then (3·ω₁)² = 2·α₂·Δθ → 9·ω₁² = 2·α₂·Δθ. Compare to ω₁² = 2·α₁·Δθ → α₂ = 9·α₁.",,
"Three cars are at rest on a 50-meter bridge. Car A (1000 kg) is at 5 m, Car B (500 kg) is at 20 m, and Car C (2000 kg) is at 45 m from the left. Where is the center of mass?",20 m,23 m,25 m,30 m,D,x_cm = (1000·5 + 500·20 + 2000·45)/(1000 + 500 + 2000) = 105000/3500 = 30 m.,,
"If the sum of external forces on an object is zero, must the sum of external torques also be zero?",True,False,,,B,"Forces can cancel (net force = 0) while still producing torque if applied at different locations — for example, in a couple producing rotation.",,
"If the sum of the external torques on an object is zero, must the sum of the external forces also be zero?",True,False,,,B,"Net torque can be zero even if there is a net force — for example, two forces applied symmetrically in opposite directions cancel torque but not net force.",,
