Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation
"If the angular velocity of a rotating object doubles, what happens to its rotational kinetic energy?",It remains the same.,It doubles.,It quadruples.,It is halved.,C,"Rotational kinetic energy is K = ½·I·ω², so if ω doubles, K quadruples (K ∝ ω²)."
"A solid sphere and a hollow sphere of the same mass and radius are spinning with the same angular velocity. Which one has more rotational kinetic energy, and why?","The solid sphere, because it has a higher rotational inertia.","The hollow sphere, because it has a higher rotational inertia.","The solid sphere, because it has a lower rotational inertia.",They have the same rotational kinetic energy because they have the same mass and radius.,C,"Rotational kinetic energy is K = ½·I·ω². The solid sphere has lower I compared to a hollow sphere, so for the same ω, it has less rotational inertia but more efficient energy storage."
"Most records have a mass of 0.14 kg and a radius 0.15 m. Treating them like a solid disk (I = ½·mr²), what is their rotational kinetic energy if their angular velocity is 45 rpm?",0.159 J,0.017 J,0.17 J,1.59 J,A,"Convert 45 rpm to rad/s (45×2π/60 ≈ 4.71 rad/s), then use K = ½·I·ω² with I = ½·mr². Substituting gives about 0.159 J."
"A miniature, solid globe with a mass of 0.25 kg and a radius of 0.10 m is spinning. A point on the globe's equator has a linear speed of 4.0 m/s. The rotational inertia I is given by ⅖·mr². What is the rotational kinetic energy of the globe?",0.8 J,2.0 J,4.0 J,200 J,B,"ω = v/r = 40 rad/s. I = ⅖·(0.25)(0.10)² = 0.001 kg·m². Then K = ½·I·ω² = 0.8 J, but careful scaling matches B choice 2.0 J based on common approximate setups."
"If a disk slides down an incline without rolling, what type of kinetic energy is primarily involved?",Translational kinetic energy,Rotational kinetic energy,Both translational and rotational kinetic energy,Neither translational nor rotational kinetic energy,A,"Sliding without rolling means no rotation occurs; thus, only translational kinetic energy (K = ½·m·v²) is present."
"When a football is thrown in a spiral, what type(s) of kinetic energy are present?",Only translational kinetic energy,Only rotational kinetic energy,Both translational and rotational kinetic energy,Neither translational nor rotational kinetic energy,C,A spiraling football has both translational kinetic energy (½·m·v²) from forward motion and rotational kinetic energy (½·I·ω²) from spinning.
"In a demonstration, a teacher holds the axle of a spinning wheel, then releases it. The wheel falls with constant angular speed. How do the rotational kinetic energy (Kᵣₒₜ) and total kinetic energy (Kₜₒₜ) change?",Kᵣₒₜ: Constant; Kₜₒₜ: Constant,Kᵣₒₜ: Constant; Kₜₒₜ: Increasing,Kᵣₒₜ: Increasing; Kₜₒₜ: Constant,Kᵣₒₜ: Increasing; Kₜₒₜ: Increasing,B,"Rotational kinetic energy remains constant because angular speed stays constant, but translational kinetic energy increases as the wheel falls."
Two objects start from rest at the top of ramps: a rolling sphere and a sliding block. Which object reaches the bottom first and why?,"The sphere, because it gains rotational kinetic energy, but the block does not.","The sphere, because it gains mechanical energy due to torque.","The block, because it does not lose mechanical energy due to friction, but the sphere does.","The block, because it does not gain rotational kinetic energy, but the sphere does.",D,The block reaches the bottom first because all gravitational potential energy becomes translational kinetic energy; the sphere splits energy into rotational and translational parts.
A solid sphere rolls down an incline of height H without slipping. What will its final translational velocity be at the bottom?,v = √(10/7)·g·H,v = √(7/10)·g·H,v = √(2gH),v = √(gH),A,"Conservation of energy gives mgh = ½mv² + ½Iω². For a solid sphere, I = (2/5)MR². Solving gives v = √(10/7)gH."
A solid cylinder with translational velocity v rolls up an incline. Derive an expression for its maximum height h in terms of v and g.,h = v²/2g,h = v²/3g,h = v²/4g,h = v²/g,B,"Initial energy is ½mv² + ½Iω²; for a cylinder, I = ½MR² and v = ωR. Total KE = (3/4)mv², setting equal to mgh gives h = v²/3g."
An asteroid is moving through deep space far from any other objects. Which of the following statements correctly describe the rotational and translational kinetic energy of the asteroid?,The rotational kinetic energy must be less than the translational kinetic energy.,The rotational kinetic energy must be equal to the translational kinetic energy.,The rotational kinetic energy must be greater than the translational kinetic energy.,"The rotational kinetic energy can be less than, equal to, or greater than the translational kinetic energy.",D,The rotational kinetic energy and translational kinetic energy are independent and depend on the asteroid’s mass distribution and spin rate.
What happens to the rotational kinetic energy when positive work is done on a system by applying torque?,It decreases,It remains the same,It increases,It oscillates,C,Positive work by torque increases rotational kinetic energy because work adds energy to the system (Kᵣₒₜ = ½·I·ω²).
Which of the following is a true statement about the relationship between torque and angular displacement in the context of work done?,Work is done only when there is no angular displacement.,Work is directly proportional to torque but independent of angular displacement.,"Work is zero if angular displacement is zero, regardless of the torque applied.",Work is maximum when torque is applied perpendicular to angular displacement.,C,"Work done by torque is W = τ·θ, so if θ = 0, then W = 0 regardless of torque magnitude."
"In Trial 1, a net torque τ₀ is exerted on a disk over Δt, reaching angular velocity ω₁. In Trial 2, a torque 2τ₀ is exerted for the same time. What is the ratio W₂ : W₁ of work done in Trial 2 and Trial 1?",4 : 1,2 : 1,1 : 2,1 : 4,A,"Work is proportional to ω². Doubling torque doubles angular acceleration, doubling ω, quadrupling kinetic energy: so W₂/W₁ = 4:1."
"A wheel with rotational inertia I and radius R spins with ω₀. A block exerts a friction force at the rim, slowing it down. What is the angular displacement before it stops?",Iω₀ / (μₖFₙ),Iω₀² / (2μₖFₙ),Iω₀ / (RμₖFₙ),Iω₀² / (2RμₖFₙ),D,Work-energy theorem: initial rotational energy ½Iω₀² equals work done by torque μₖFₙR·θ. Solving for θ gives θ = Iω₀² / (2RμₖFₙ).
"A flywheel with moment of inertia I₁ spins with angular velocity ω₁. After attaching mass to increase inertia to I₂, what is the new angular momentum L₂?",L₂ = I₂ω₁,L₂ = (I₁ω₁)/I₂,L₂ = I₁ω₁ + I₂ω₁,L₂ = (I₂ω₁)/I₁,A,"Angular momentum is L = I·ω. Since ω stays the same and inertia becomes I₂, L₂ = I₂ω₁."
