Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation
What is the density of an object that has a mass of 20 kg and a volume of 4 cubic meters?,5 kg/m³,8 kg/m³,15 kg/m³,20 kg/m³,A,"Density is mass divided by volume: ρ = m/V = 20 kg ÷ 4 m³ = 5 kg/m³, so choice A is correct."
"If two substances have the same volume but different densities, what can be said about their masses?",They have the same mass.,Substance with the higher density has a greater mass.,Substance with the lower density has a greater mass.,Cannot be determined from the given information.,B,"Since density is mass divided by volume and the volumes are the same, the substance with the greater density must have a greater mass, making choice B correct."
What happens to the density of a fixed mass of gas when it is compressed into a smaller volume?,The density decreases.,The density stays the same.,The density increases.,The density periodically changes.,C,"Density is mass divided by volume; compressing the gas decreases volume while mass stays constant, causing density to increase, so choice C is correct."
"If you double the mass of an object while keeping its volume constant, what happens to the density?",The density remains unchanged.,The density is halved.,The density doubles.,The density is reduced by a quarter.,C,"Density is mass divided by volume; doubling the mass while keeping the volume constant doubles the density, so choice C is correct."
"The cubical box shown has edges of 0.50 m and is filled with 125 spheres, each with a density of 100 kg/m³ and radius 0.050 m. What is the average density of the box?",0.082 kg/m³,6.5 kg/m³,52 kg/m³,100 kg/m³,B,"The volume of one sphere is (4/3)π(0.050)³ ≈ 5.24×10⁻⁴ m³. Total mass = 125 × 100 kg/m³ × 5.24×10⁻⁴ m³ ≈ 6.55 kg. Volume of box = (0.50 m)³ = 0.125 m³. Density = mass/volume = 6.55/0.125 ≈ 6.5 kg/m³, so choice B is correct."
Block X and Block Y are made of the same material. The volume of Block X is V and the volume of Block Y is 3V. Which of the following correctly compares ρₓ to ρᵧ?,ρₓ < ρᵧ,ρₓ = ρᵧ,ρₓ > ρᵧ,The comparison cannot be made without knowing the mass of each block.,B,"Density depends on material and is mass divided by volume. Since the material is the same, their densities are equal, regardless of their volumes, so choice B is correct."
"During an experiment, a balloon containing air is compressed. The volume decreases, the shape stays spherical, and the number of gas atoms stays constant. How does the gas density change?",The density of the gas will remain the same because the same amount of gas is in the balloon.,The density of the gas will remain the same because the shape of the balloon does not change.,The density of the gas will increase because the mass of the gas is constant and the volume of the balloon decreases.,The density of the gas will increase because the mass of the gas increases.,C,"Density is mass divided by volume; as the volume decreases and mass stays constant, the density must increase, making choice C correct."
The density of copper is 8960 kg/m³. The mass of a copper sphere with a radius of 0.03 m is most nearly:,1.26 × 10⁻⁸ kg,1.01 kg,25.3 kg,7.92 × 10⁷ kg,B,"Volume of sphere = (4/3)π(0.03)³ ≈ 1.13 × 10⁻⁴ m³. Mass = density × volume = 8960 kg/m³ × 1.13 × 10⁻⁴ m³ ≈ 1.01 kg, so choice B is correct."
Fluid X has density ρ₀ and Fluid Y has density 3ρ₀/2. Volumes V and 2V are mixed together. What describes the average density ρₐᵥg of the mixture?,ρₐᵥg < ρ₀,ρₐᵥg = ρ₀,ρ₀ < ρₐᵥg < 2ρ₀,ρₐᵥg ≥ 2ρ₀,C,"Total mass = ρ₀·V + (3ρ₀/2)·2V = 4ρ₀·V. Total volume = 3V. Thus, ρₐᵥg = (4/3)ρ₀, which is greater than ρ₀ but less than 2ρ₀, so choice C is correct."
Identical Cylinders 1 and 2 are filled with different fluids. Cylinder 1 has volume V and reads mass M; Cylinder 2 has volume 2V and reads mass 2M. A student claims the fluid densities are equal. Is the claim correct?,"Yes, because the ratio of mass to volume of the two fluids is the same.","Yes, because the containers are identical.","No, because the student neglected to account for the effect that the mass of the cylinders has on the scale reading.","No, because the student neglected to account for the total volume of the cylinders.",C,"The scale measures total mass, including the cylinder’s own mass, so the claim is incorrect because the container mass affects the readings, making choice C correct."
